['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.88378653 x1', '1.97739596 x2', '3.21529562 x3']
['0.88378653 x1', '1.97739596 x2', '3.21529562 x3']
['0.88378653 x1', '1.97739596 x2', '3.21529562 x3']
['0.88378119 x1', '1.97736804 x2', '3.21528731 x3']
['1.0 x1', '3.0 x2', '6.0 x3']
['0.86268808 x1', '4.50907788 x2', '3.07435319 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88378653 x1', '1.97739596 x2', '3.21529562 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82168664 x1', '1.25910893 x2', '5.52038069 x3']
['0.82172537 x1', '1.25532554 x2', '5.51954103 x3']
['0.82190024 x1', '1.25531226 x2', '5.51930307 x3']
['0.0 x1', '0.0 x2', '0.0 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88372091 x1', '1.97714711 x2', '3.21589867 x3']
['0.88378653 x1', '1.97739596 x2', '3.21529562 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.81976378 x1', '1.24492078 x2', '5.52004248 x3']
['0.81976378 x1', '1.24492078 x2', '5.52004248 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
['0.78175146 x1', '3.56487833 x2', '6.08665745 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
['0.82187055 x1', '1.25515598 x2', '5.51925613 x3']
['0.82187472 x1', '1.25511353 x2', '5.51922285 x3']
['0.82187472 x1', '1.25511353 x2', '5.51922285 x3']
['0.82177349 x1', '1.25449281 x2', '5.51991395 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.82190049 x1', '1.25531367 x2', '5.51930354 x3']
['0.81976378 x1', '1.24492078 x2', '5.52004248 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
['0.82187055 x1', '1.25515598 x2', '5.51925613 x3']
['0.82187472 x1', '1.25511353 x2', '5.51922285 x3']
['0.82187055 x1', '1.25515598 x2', '5.51925613 x3']
['0.82187067 x1', '1.25515803 x2', '5.51925718 x3']
